Id,Test_Execution_Id,Organization,PI,Solution_Stack,SRT,Sprint,Total_Test_Cases,Total_Test_Passed,Total_Test_Failed,Stable_In_Sprint,Stable_In_PI,Time_Stamp,Start_Time,End_Time,Elapsed,Path,Lab,Solution
1,E1,Banking Core,21.1,AE3.2_NDCHOST,EAB,S3,143,127,16,0,0,20210108 06:30:49.418,20210108 06:30:49.418,20210108 10:20:03.732,3:49:14.314,NULL,SIST_Azure,AE_NDCHOST
2,E2,Banking Core,21.1,AE3.2_NDCHOST,EAB,S3,143,127,16,0,0,20210108 14:49:32.943,20210108 14:49:32.943,20210108 18:26:34.866,3:37:01.923,NULL,SIST_Azure,AE_NDCHOST
3,E3,Banking Core,21.1,AE3.2_NDCHOST,EAB,S3,143,127,16,1,0,20210109 02:00:01.774,20210109 02:00:01.774,20210109 05:36:23.927,3:36:22.153,NULL,SIST_Azure,AE_NDCHOST
4,E4,Banking Core,21.1,AE3.2_NDCHOST,EAB,S3,143,124,19,0,0,20210109 06:19:03.454,20210109 06:19:03.454,20210109 10:08:10.134,3:49:06.680,NULL,SIST_Azure,AE_NDCHOST
5,E5,Banking Core,21.1,AE3.2_NDCHOST,EAB,S3,143,124,19,0,0,20210110 22:06:38.625,20210110 22:06:38.625,20210111 01:59:33.197,3:52:54.572,NULL,SIST_Azure,AE_NDCHOST
6,E6,Banking Core,21.1,AE3.2_NDCHOST,EAB,S3,143,125,18,0,0,20210118 15:40:11.373,20210118 15:40:11.373,20210118 19:41:24.711,4:01:13.338,NULL,SIST_Azure,AE_NDCHOST
7,E7,Banking Core,21.1,AE3.2_NDCHOST,EAB,S3,143,122,21,0,0,20210119 09:57:04.921,20210119 09:57:04.921,20210119 14:03:53.952,4:06:49.031,NULL,SIST_Azure,AE_NDCHOST
8,E8,Banking Core,21.1,AE3.2_NDCHOST,EAB,S3,143,123,20,2,0,20210119 19:49:27.230,20210119 19:49:27.230,20210119 23:57:21.232,4:07:54.002,NULL,SIST_Azure,AE_NDCHOST
9,E1,Banking Core,21.1,AE3.2_NDCHOST,EAB,S4,236,215,21,0,0,20210121 13:36:05.741,20210121 13:36:05.741,20210121 20:37:31.186,7:01:25.445,NULL,SIST_Azure,AE_NDCHOST
10,E2,Banking Core,21.1,AE3.2_NDCHOST,EAB,S4,234,214,20,1,1,20210122 05:41:23.097,20210122 05:41:23.097,20210122 12:32:14.392,6:50:51.295,NULL,SIST_Azure,AE_NDCHOST
11,E3,Banking Core,21.1,AE3.2_NDCHOST,EAB,S4,240,219,21,0,0,20210123 12:23:46.343,20210123 12:23:46.343,20210123 19:31:33.931,7:07:47.588,NULL,SIST_Azure,AE_NDCHOST
12,E4,Banking Core,21.1,AE3.2_NDCHOST,EAB,S4,242,216,26,0,0,20210124 08:03:19.398,20210124 08:03:19.398,20210124 15:21:14.535,7:17:55.137,NULL,SIST_Azure,AE_NDCHOST
13,E5,Banking Core,21.1,AE3.2_NDCHOST,EAB,S4,242,221,21,0,0,20210124 22:14:33.537,20210124 22:14:33.537,20210125 05:26:42.594,7:12:09.057,NULL,SIST_Azure,AE_NDCHOST
14,E6,Banking Core,21.1,AE3.2_NDCHOST,EAB,S4,242,216,26,0,0,20210125 19:39:50.737,20210125 19:39:50.737,20210126 03:04:45.689,7:24:54.952,NULL,SIST_Azure,AE_NDCHOST
15,E7,Banking Core,21.1,AE3.2_NDCHOST,EAB,S4,242,178,64,0,0,20210126 08:19:15.061,20210126 08:19:15.061,20210126 15:56:06.493,7:36:51.432,NULL,SIST_Azure,AE_NDCHOST
16,E8,Banking Core,21.1,AE3.2_NDCHOST,EAB,S4,242,172,70,0,0,20210127 21:40:56.120,20210127 21:40:56.120,20210128 05:34:47.211,7:53:51.091,NULL,SIST_Azure,AE_NDCHOST
17,E9,Banking Core,21.1,AE3.2_NDCHOST,EAB,S4,242,216,26,0,0,20210128 22:37:15.222,20210128 22:37:15.222,20210129 05:50:15.246,7:13:00.024,NULL,SIST_Azure,AE_NDCHOST
18,E10,Banking Core,21.1,AE3.2_NDCHOST,EAB,S4,242,214,28,0,0,20210201 15:01:30.938,20210201 15:01:30.938,20210201 22:39:17.711,7:37:46.773,NULL,SIST_Azure,AE_NDCHOST
19,E11,Banking Core,21.1,AE3.2_NDCHOST,EAB,S4,242,210,32,0,0,20210201 23:01:37.225,20210201 23:01:37.225,20210202 06:34:01.335,7:32:24.110,NULL,SIST_Azure,AE_NDCHOST
20,E12,Banking Core,21.1,AE3.2_NDCHOST,EAB,S4,242,214,28,2,0,20210202 22:04:00.273,20210202 22:04:00.273,20210203 05:40:42.395,7:36:42.122,NULL,SIST_Azure,AE_NDCHOST
21,E1,Banking Core,21.1,AE3.2_NDCHOST,EAB,S5,242,214,28,0,0,20210204 18:40:48.516,20210204 18:40:48.516,20210205 02:03:16.229,7:22:27.713,NULL,SIST_Azure,AE_NDCHOST
22,E2,Banking Core,21.1,AE3.2_NDCHOST,EAB,S5,242,218,24,1,0,20210206 10:30:35.351,20210206 10:30:35.351,20210206 17:51:26.620,7:20:51.269,NULL,SIST_Azure,AE_NDCHOST
23,E3,Banking Core,21.1,AE3.2_NDCHOST,EAB,S5,242,214,28,2,0,20210207 16:09:54.613,20210207 16:09:54.613,20210207 23:33:27.562,7:23:32.949,NULL,SIST_Azure,AE_NDCHOST
24,E1,Banking Core,21.1,AE3.2_NDCHOST,EAB,S6,242,216,26,2,0,20210224 11:08:50.640,20210224 11:08:50.640,20210224 18:55:47.669,7:46:57.029,NULL,SIST_Azure,AE_NDCHOST
25,E1,Banking Core,21.1,AE3.2_NDCHOST,EAB,S7,242,219,23,2,0,20210305 12:39:57.059,20210305 12:39:57.059,20210305 20:05:53.653,7:25:56.594,NULL,SIST_Azure,AE_NDCHOST
