Id,Report_Id,Total_Test_Cases,Total_Test_Passed,Total_Test_Failed,Suite_Name,Time_Stamp
1,1,1,1,0,Robot TestSuites.Balance Transaction.DynamicAccounts SubAccount TestSuite.DynamicAccounts SubAccount TestSuite,20210108 06:30:49.418
2,1,13,13,0,Robot TestSuites.Balance Transaction.Good TestSuite.Good TestSuite,20210108 06:30:49.418
3,1,5,5,0,Robot TestSuites.Balance Transaction.HostDenial TestSuite.HostDenial TestSuite,20210108 06:30:49.418
4,1,5,5,0,Robot TestSuites.Build Sanity Suite.Chaining TestSuite.Chaining TestSuite,20210108 06:30:49.418
5,1,11,10,1,Robot TestSuites.Build Sanity Suite.ClearOpcode TestSuite.ClearOpcode  TestSuite,20210108 06:30:49.418
6,1,1,0,1,Robot TestSuites.Build Sanity Suite.DepositContinuation TestSuite.DepositContinuation TestSuite,20210108 06:30:49.418
7,1,24,13,11,Robot TestSuites.Build Sanity Suite.Good TestSuite.Good TestSuite,20210108 06:30:49.418
8,1,2,2,0,Robot TestSuites.Build Sanity Suite.IB TestSuite.IB TestSuite,20210108 06:30:49.418
9,1,2,2,0,Robot TestSuites.Build Sanity Suite.Multilanguage TestSuite.Multilanguage TestSuite,20210108 06:30:49.418
10,1,19,19,0,Robot TestSuites.CashDeposit Transaction.Good TestSuite.Good TestSuite,20210108 06:30:49.418
11,1,1,1,0,Robot TestSuites.CashDeposit Transaction.HostDenials TestSuite.HostDenials TestSuite,20210108 06:30:49.418
12,1,15,15,0,Robot TestSuites.FastCash Transaction.Good TestSuite.Good TestSuite,20210108 06:30:49.418
13,1,3,3,0,Robot TestSuites.FastCash Transaction.HostDenials TestSuite.HostDenials TestSuite,20210108 06:30:49.418
14,1,16,16,0,Robot TestSuites.Transfer Transaction.Good TestSuite.Good TestSuite,20210108 06:30:49.418
15,1,5,4,1,Robot TestSuites.Transfer Transaction.HostDenialUnchained TestSuite.HostDenialUnchained TestSuite,20210108 06:30:49.418
16,1,4,4,0,Robot TestSuites.Withdrawal Transaction.HostDenial TestSuite.HostDenial TestSuite,20210108 06:30:49.418
17,1,2,0,2,Robot TestSuites.Withdrawal Transaction.Hybridbillmix Good TestSuite.Hybridbillmix Good TestSuite,20210108 06:30:49.418
18,1,14,14,0,Robot TestSuites.Withdrawal Transaction.Withdrawal Good TestSuite.Withdrawal Good TestSuite,20210108 06:30:49.418
19,2,1,1,0,Robot TestSuites.Balance Transaction.DynamicAccounts SubAccount TestSuite.DynamicAccounts SubAccount TestSuite,20210108 14:49:32.943
20,2,13,13,0,Robot TestSuites.Balance Transaction.Good TestSuite.Good TestSuite,20210108 14:49:32.943
21,2,5,5,0,Robot TestSuites.Balance Transaction.HostDenial TestSuite.HostDenial TestSuite,20210108 14:49:32.943
22,2,5,5,0,Robot TestSuites.Build Sanity Suite.Chaining TestSuite.Chaining TestSuite,20210108 14:49:32.943
23,2,11,10,1,Robot TestSuites.Build Sanity Suite.ClearOpcode TestSuite.ClearOpcode  TestSuite,20210108 14:49:32.943
24,2,1,0,1,Robot TestSuites.Build Sanity Suite.DepositContinuation TestSuite.DepositContinuation TestSuite,20210108 14:49:32.943
25,2,24,14,10,Robot TestSuites.Build Sanity Suite.Good TestSuite.Good TestSuite,20210108 14:49:32.943
26,2,2,2,0,Robot TestSuites.Build Sanity Suite.IB TestSuite.IB TestSuite,20210108 14:49:32.943
27,2,2,2,0,Robot TestSuites.Build Sanity Suite.Multilanguage TestSuite.Multilanguage TestSuite,20210108 14:49:32.943
28,2,19,19,0,Robot TestSuites.CashDeposit Transaction.Good TestSuite.Good TestSuite,20210108 14:49:32.943
