Id,Report_Id,Total_Test_Cases,Total_Test_Passed,Total_Test_Failed,Tag_Name,Time_Stamp
1,1,23,20,3,Balance,20210108 06:30:49.418
2,1,2,0,2,BillMix,20210108 06:30:49.418
3,1,1,1,0,CardBeforeCash,20210108 06:30:49.418
4,1,24,24,0,CashDeposit,20210108 06:30:49.418
5,1,1,1,0,Chaining,20210108 06:30:49.418
6,1,1,1,0,ChainingDisable,20210108 06:30:49.418
7,1,4,0,4,CheckDeposit,20210108 06:30:49.418
8,1,1,0,1,Deletepreferences,20210108 06:30:49.418
9,1,1,0,1,DepositContinuation,20210108 06:30:49.418
10,1,2,2,0,DynamicTextVG,20210108 06:30:49.418
11,1,2,2,0,Electronicpayment,20210108 06:30:49.418
12,1,3,3,0,EndDeposit,20210108 06:30:49.418
13,1,1,1,0,EnhancedDeposit,20210108 06:30:49.418
14,1,21,21,0,FastCash,20210108 06:30:49.418
15,1,26,25,1,Fee,20210108 06:30:49.418
16,1,4,3,1,GenericTransaction,20210108 06:30:49.418
17,1,38,28,10,Good,20210108 06:30:49.418
18,1,20,19,1,HostDenial,20210108 06:30:49.418
19,1,2,2,0,IB,20210108 06:30:49.418
20,1,2,2,0,MiniStatement,20210108 06:30:49.418
21,1,1,0,1,MixedMedia,20210108 06:30:49.418
22,1,1,0,1,MixedMediaDeposit,20210108 06:30:49.418
23,1,2,2,0,MultiLanguage,20210108 06:30:49.418
24,1,2,0,2,NDCPreferences,20210108 06:30:49.418
25,1,1,1,0,NonGrouping,20210108 06:30:49.418
26,1,17,16,1,OAR,20210108 06:30:49.418
27,1,2,2,0,Pinchange,20210108 06:30:49.418
28,1,53,38,15,Sanity,20210108 06:30:49.418
29,1,25,24,1,Transfer,20210108 06:30:49.418
30,1,5,4,1,Unchained,20210108 06:30:49.418
31,1,31,31,0,UserError,20210108 06:30:49.418
32,1,22,21,1,Withdrawal,20210108 06:30:49.418
33,2,23,20,3,Balance,20210108 14:49:32.943
34,2,2,0,2,BillMix,20210108 14:49:32.943
35,2,1,1,0,CardBeforeCash,20210108 14:49:32.943
36,2,24,24,0,CashDeposit,20210108 14:49:32.943
37,2,1,1,0,Chaining,20210108 14:49:32.943
38,2,1,1,0,ChainingDisable,20210108 14:49:32.943
39,2,4,0,4,CheckDeposit,20210108 14:49:32.943
40,2,1,0,1,Deletepreferences,20210108 14:49:32.943
41,2,1,0,1,DepositContinuation,20210108 14:49:32.943
42,2,2,2,0,DynamicTextVG,20210108 14:49:32.943
43,2,2,2,0,Electronicpayment,20210108 14:49:32.943
44,2,3,3,0,EndDeposit,20210108 14:49:32.943
45,2,1,1,0,EnhancedDeposit,20210108 14:49:32.943
46,2,21,19,2,FastCash,20210108 14:49:32.943
47,2,26,25,1,Fee,20210108 14:49:32.943
48,2,4,3,1,GenericTransaction,20210108 14:49:32.943
49,2,38,28,10,Good,20210108 14:49:32.943
50,2,20,19,1,HostDenial,20210108 14:49:32.943
51,2,2,2,0,IB,20210108 14:49:32.943
52,2,2,2,0,MiniStatement,20210108 14:49:32.943
53,2,1,0,1,MixedMedia,20210108 14:49:32.943
54,2,1,0,1,MixedMediaDeposit,20210108 14:49:32.943
55,2,2,2,0,MultiLanguage,20210108 14:49:32.943
56,2,2,0,2,NDCPreferences,20210108 14:49:32.943
57,2,1,1,0,NonGrouping,20210108 14:49:32.943
58,2,17,16,1,OAR,20210108 14:49:32.943
59,2,2,2,0,Pinchange,20210108 14:49:32.943
60,2,53,38,15,Sanity,20210108 14:49:32.943
61,2,25,25,0,Transfer,20210108 14:49:32.943
62,2,5,5,0,Unchained,20210108 14:49:32.943
63,2,31,31,0,UserError,20210108 14:49:32.943
64,2,22,22,0,Withdrawal,20210108 14:49:32.943
65,3,23,20,3,Balance,20210109 02:00:01.774
66,3,2,0,2,BillMix,20210109 02:00:01.774
67,3,1,1,0,CardBeforeCash,20210109 02:00:01.774
68,3,24,24,0,CashDeposit,20210109 02:00:01.774
69,3,1,1,0,Chaining,20210109 02:00:01.774
70,3,1,1,0,ChainingDisable,20210109 02:00:01.774
71,3,4,0,4,CheckDeposit,20210109 02:00:01.774
72,3,1,0,1,Deletepreferences,20210109 02:00:01.774
73,3,1,0,1,DepositContinuation,20210109 02:00:01.774
74,3,2,2,0,DynamicTextVG,20210109 02:00:01.774
75,3,2,2,0,Electronicpayment,20210109 02:00:01.774
76,3,3,3,0,EndDeposit,20210109 02:00:01.774
77,3,1,1,0,EnhancedDeposit,20210109 02:00:01.774
78,3,21,21,0,FastCash,20210109 02:00:01.774
79,3,26,25,1,Fee,20210109 02:00:01.774
80,3,4,3,1,GenericTransaction,20210109 02:00:01.774
81,3,38,29,9,Good,20210109 02:00:01.774
82,3,20,18,2,HostDenial,20210109 02:00:01.774
83,3,2,2,0,IB,20210109 02:00:01.774
84,3,2,2,0,MiniStatement,20210109 02:00:01.774
85,3,1,0,1,MixedMedia,20210109 02:00:01.774
86,3,1,0,1,MixedMediaDeposit,20210109 02:00:01.774
87,3,2,2,0,MultiLanguage,20210109 02:00:01.774
88,3,2,0,2,NDCPreferences,20210109 02:00:01.774
89,3,1,1,0,NonGrouping,20210109 02:00:01.774
90,3,17,16,1,OAR,20210109 02:00:01.774
91,3,2,1,1,Pinchange,20210109 02:00:01.774
92,3,53,38,15,Sanity,20210109 02:00:01.774
93,3,25,24,1,Transfer,20210109 02:00:01.774
94,3,5,4,1,Unchained,20210109 02:00:01.774
95,3,31,31,0,UserError,20210109 02:00:01.774
96,3,22,22,0,Withdrawal,20210109 02:00:01.774
97,4,23,20,3,Balance,20210109 06:19:03.454
98,4,2,0,2,BillMix,20210109 06:19:03.454
99,4,1,1,0,CardBeforeCash,20210109 06:19:03.454
100,4,24,24,0,CashDeposit,20210109 06:19:03.454
101,4,1,1,0,Chaining,20210109 06:19:03.454
102,4,1,1,0,ChainingDisable,20210109 06:19:03.454
103,4,4,0,4,CheckDeposit,20210109 06:19:03.454
104,4,1,0,1,Deletepreferences,20210109 06:19:03.454
105,4,1,0,1,DepositContinuation,20210109 06:19:03.454
106,4,2,2,0,DynamicTextVG,20210109 06:19:03.454
107,4,2,2,0,Electronicpayment,20210109 06:19:03.454
108,4,3,1,2,EndDeposit,20210109 06:19:03.454
109,4,1,1,0,EnhancedDeposit,20210109 06:19:03.454
110,4,21,20,1,FastCash,20210109 06:19:03.454
111,4,26,25,1,Fee,20210109 06:19:03.454
112,4,4,3,1,GenericTransaction,20210109 06:19:03.454
113,4,38,26,12,Good,20210109 06:19:03.454
114,4,20,18,2,HostDenial,20210109 06:19:03.454
115,4,2,2,0,IB,20210109 06:19:03.454
116,4,2,2,0,MiniStatement,20210109 06:19:03.454
117,4,1,0,1,MixedMedia,20210109 06:19:03.454
118,4,1,0,1,MixedMediaDeposit,20210109 06:19:03.454
119,4,2,2,0,MultiLanguage,20210109 06:19:03.454
120,4,2,0,2,NDCPreferences,20210109 06:19:03.454
121,4,1,0,1,NonGrouping,20210109 06:19:03.454
122,4,17,16,1,OAR,20210109 06:19:03.454
123,4,2,1,1,Pinchange,20210109 06:19:03.454
124,4,53,35,18,Sanity,20210109 06:19:03.454
125,4,25,24,1,Transfer,20210109 06:19:03.454
126,4,5,4,1,Unchained,20210109 06:19:03.454
127,4,31,31,0,UserError,20210109 06:19:03.454
128,4,22,22,0,Withdrawal,20210109 06:19:03.454
129,5,23,20,3,Balance,20210110 22:06:38.625
130,5,2,0,2,BillMix,20210110 22:06:38.625
131,5,1,1,0,CardBeforeCash,20210110 22:06:38.625
132,5,24,23,1,CashDeposit,20210110 22:06:38.625
133,5,1,1,0,Chaining,20210110 22:06:38.625
134,5,1,1,0,ChainingDisable,20210110 22:06:38.625
135,5,4,0,4,CheckDeposit,20210110 22:06:38.625
136,5,1,0,1,Deletepreferences,20210110 22:06:38.625
137,5,1,0,1,DepositContinuation,20210110 22:06:38.625
138,5,2,1,1,DynamicTextVG,20210110 22:06:38.625
139,5,2,2,0,Electronicpayment,20210110 22:06:38.625
140,5,3,3,0,EndDeposit,20210110 22:06:38.625
141,5,1,1,0,EnhancedDeposit,20210110 22:06:38.625
142,5,21,20,1,FastCash,20210110 22:06:38.625
143,5,26,25,1,Fee,20210110 22:06:38.625
144,5,4,3,1,GenericTransaction,20210110 22:06:38.625
145,5,38,28,10,Good,20210110 22:06:38.625
146,5,20,17,3,HostDenial,20210110 22:06:38.625
147,5,2,2,0,IB,20210110 22:06:38.625
148,5,2,2,0,MiniStatement,20210110 22:06:38.625
149,5,1,0,1,MixedMedia,20210110 22:06:38.625
150,5,1,0,1,MixedMediaDeposit,20210110 22:06:38.625
151,5,2,2,0,MultiLanguage,20210110 22:06:38.625
152,5,2,0,2,NDCPreferences,20210110 22:06:38.625
153,5,1,1,0,NonGrouping,20210110 22:06:38.625
154,5,17,16,1,OAR,20210110 22:06:38.625
155,5,2,1,1,Pinchange,20210110 22:06:38.625
156,5,53,36,17,Sanity,20210110 22:06:38.625
157,5,25,24,1,Transfer,20210110 22:06:38.625
158,5,5,4,1,Unchained,20210110 22:06:38.625
159,5,31,31,0,UserError,20210110 22:06:38.625
160,5,22,22,0,Withdrawal,20210110 22:06:38.625
161,6,23,16,7,Balance,20210118 15:40:11.373
162,6,2,2,0,BillMix,20210118 15:40:11.373
163,6,1,1,0,CardBeforeCash,20210118 15:40:11.373
164,6,24,23,1,CashDeposit,20210118 15:40:11.373
165,6,1,1,0,Chaining,20210118 15:40:11.373
166,6,1,1,0,ChainingDisable,20210118 15:40:11.373
167,6,4,0,4,CheckDeposit,20210118 15:40:11.373
